Scale,N,Approximation,Error
2,12100,0.88686,6.10446
2,12600,1.00333,6.22711
2,13100,1.01366,7.32088
2,13600,0.965588,2.23088
2,14100,0.990426,4.86051
2,14600,0.993425,5.17804
2,15100,0.931325,1.39676
2,15600,1.06481,12.7357
2,16100,0.958696,1.50113
2,16600,0.968193,2.50663
2,17100,0.908363,3.82784
2,17600,1.02455,8.47293
2,18100,0.993536,5.18982
2,18600,0.84828,10.1891
2,19100,0.985131,4.29994
2,19600,0.9675,2.43329
2,20100,0.965373,2.20811
2,20600,0.958592,1.49018
2,21100,0.921943,2.39001
2,21600,0.96412,2.07547
2,22100,1.01104,7.04313
2,22600,0.990841,4.90447
2,23100,0.958788,1.5109
2,23600,0.998686,5.73513
2,24100,1.01456,7.41618
2,24600,1.0298,9.02891
2,25100,0.983904,4.17009
2,25600,0.91875,2.72808
2,26100,0.989387,4.75055
2,26600,0.963421,2.00143
2,27100,0.927565,1.79484
2,27600,0.960471,1.6891
2,28100,0.924199,2.15114
2,28600,0.892622,5.49432
2,29100,0.929485,1.59157
2,29600,0.936959,0.800168
2,30100,0.936047,0.896826
2,30600,0.880719,6.75459
2,31100,0.863408,8.58733
2,31600,0.904019,4.28771
2,32100,1.01664,7.63547
2,32600,0.958957,1.52881
2,33100,0.984441,4.22691
2,33600,0.942083,0.257682
2,34100,0.934018,1.11164
2,34600,0.927601,1.79097
2,35100,0.954872,1.09629
2,35600,0.962107,1.86228
2,36100,0.95964,1.6011
2,36600,0.906366,4.03921
